STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,matagent,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,A,MAT_2000,EU_V,2005,0.5,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,A,MAT_9900,EU_V,2005,1.7,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,A,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_0100,EU_V,2005,12.7,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_0200,EU_V,2005,3.8,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_0300,EU_V,2005,1.0,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_0400,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_0500,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_0600,EU_V,2005,18.3,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_0700,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_0800,EU_V,2005,0.9,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_0900,EU_V,2005,1.0,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_1000,EU_V,2005,2.3,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_1100,EU_V,2005,7.7,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_1200,EU_V,2005,1.6,
dataflow,ESTAT:HSW_AW_MAD3(1.0),A,PC,D_GE4,TOTAL,T,B,MAT_1300,EU_V,2005,12.8,
