STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,2017,6.00,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,2018,6.30,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,2019,6.30,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,2020,5.40,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,BG,2021,5.70,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CH,2002,3.37,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CH,2007,4.08,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CH,2012,3.85,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CH,2017,4.32,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1980,1.67,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1981,1.99,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1982,2.09,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1983,2.14,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1984,2.07,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1985,1.77,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1986,1.86,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1987,1.88,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1988,1.84,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1989,1.86,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1990,1.89,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1991,1.88,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1992,1.88,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1993,1.86,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1994,1.89,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1995,1.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1996,1.89,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1997,1.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1998,1.97,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,1999,1.94,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2000,1.99,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2001,1.80,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2002,1.84,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2003,1.92,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2004,2.05,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2005,2.09,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2006,2.04,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2007,2.08,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2008,2.13,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2009,2.26,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2010,2.31,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2011,2.34,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2012,2.44,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2013,2.36,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2014,2.16,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2015,2.18,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2016,2.11,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2017,2.09,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2018,2.06,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2019,1.56,bd
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CY,2020,6.75,bd
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CZ,2015,7.72,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CZ,2016,7.73,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CZ,2017,7.71,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CZ,2018,7.91,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CZ,2019,7.91,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CZ,2020,7.32,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,CZ,2021,7.80,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,1991,5.30,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,1992,5.70,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,1993,6.20,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,1994,6.50,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,1995,6.80,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,1996,7.00,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,1997,7.30,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,1998,7.40,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,1999,7.60,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2000,7.70,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2001,7.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2002,8.00,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2003,8.00,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2004,7.40,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2005,8.10,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2006,7.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2007,8.10,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2008,8.60,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2009,9.20,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2010,9.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2011,9.70,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2012,9.70,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2013,9.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2014,9.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2015,10.00,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2016,10.00,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2017,9.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2018,9.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2019,9.80,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2020,9.50,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DE,2021,9.60,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1990,3.70,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1991,3.80,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1992,4.00,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1993,3.90,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1994,4.00,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1995,4.10,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1996,4.00,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1997,4.10,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1998,4.20,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,1999,4.10,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2000,4.20,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2001,4.20,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2002,4.30,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2003,4.30,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2004,4.40,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2005,4.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2006,4.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2007,4.50,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2008,4.60,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2009,4.60,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2010,4.60,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2011,4.80,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2012,4.70,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2013,4.67,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2014,4.09,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2015,4.07,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2016,4.08,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2017,4.10,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2018,4.05,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2019,3.95,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2020,3.96,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,DK,2021,3.79,
