STRUCTURE,STRUCTURE_ID,freq,icha_hc,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,FR,2014,17.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,HR,2014,3.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,HU,2014,13.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,IE,2014,22.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,IS,2014,21.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,IT,2014,2.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,LT,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,LU,2014,16.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,LV,2014,7.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,MT,2014,9.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,NL,2014,5.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,NO,2014,10.8,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,PL,2014,6.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,PT,2014,37.9,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,RO,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,SE,2014,21.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,SI,2014,19.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,SK,2014,2.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,TR,2014,0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-29,PC,UK,2014,14.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,AT,2014,11.3,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,BE,2014,5.3,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,BG,2014,4.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,CY,2014,1.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,CZ,2014,5.9,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,DE,2014,11.3,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,DK,2014,28.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,EE,2014,9.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,EL,2014,10.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,ES,2014,5.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,EU27_2020,2014,9.8,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,EU28,2014,10.8,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,FI,2014,18.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,FR,2014,16.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,HR,2014,5.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,HU,2014,11.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,IE,2014,21.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,IS,2014,17.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,IT,2014,4.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,LT,2014,8.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,LU,2014,18.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,LV,2014,8.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,MT,2014,10.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,NL,2014,5.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,NO,2014,13.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,PL,2014,6.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,PT,2014,40.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,RO,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,SE,2014,20.9,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,SI,2014,18.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,SK,2014,3.3,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,TR,2014,0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-44,PC,UK,2014,15.3,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,AT,2014,11.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,BE,2014,6.3,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,BG,2014,6.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,CY,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,CZ,2014,5.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,DE,2014,9.9,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,DK,2014,30.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,EE,2014,9.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,EL,2014,12.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,ES,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,EU27_2020,2014,10.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,EU28,2014,11.3,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,FI,2014,17.2,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,FR,2014,16.8,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,HR,2014,7.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,HU,2014,10.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,IE,2014,22.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,IS,2014,17.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,IT,2014,6.6,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,LT,2014,8.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y15-64,PC,LU,2014,19.6,
