STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_hprob,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,SE,1999,9.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,2,UK,1999,8.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,DK,1999,1.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,EL,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,ES,1999,0.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,EU_V,1999,1.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,FI,1999,1.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,HU,1999,4.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,IE,1999,1.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,IT,1999,3.7,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,LU,1999,3.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,PT,1999,1.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,SE,1999,1.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,3,UK,1999,2.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,DK,1999,0.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,EL,1999,0.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,ES,1999,0.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,EU_V,1999,0.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,FI,1999,0.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,HU,1999,0.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,IE,1999,0.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,IT,1999,0.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,LU,1999,1.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,PT,1999,0.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,SE,1999,0.5,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,4,UK,1999,1.4,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,DK,1999,0.1,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,EL,1999,4.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,ES,1999,0.9,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,EU_V,1999,2.6,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,FI,1999,0.3,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,HU,1999,2.0,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,IE,1999,1.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,IT,1999,10.8,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,LU,1999,0.2,
dataflow,ESTAT:HSW_HP_NUSE(1.0),A,PC,T,GE5,PT,1999,1.6,
