STRUCTURE,STRUCTURE_ID,freq,unit,resid,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT3,2019,0.08,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT3,2020,0.06,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT31,2017,0.04,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT31,2018,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT31,2019,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT31,2020,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT32,2017,0.3,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT32,2018,0.24,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT32,2019,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT32,2020,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT33,2017,0.13,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT33,2018,0.17,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT33,2019,0.13,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT33,2020,0.13,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT34,2016,0.08,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT34,2017,0.23,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT34,2018,0.23,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,AT34,2019,0.39,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE,2013,0.08,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE,2014,0.06,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE,2015,0.03,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE,2016,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE,2017,0.01,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE,2018,0.02,
