STRUCTURE,STRUCTURE_ID,freq,isced97,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,CZ,2008,26.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,DE,2008,10.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,EE,2008,58.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,EL,2008,17.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,ES,2008,19.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,FR,2008,11.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,HU,2008,18.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,LV,2008,7.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,MT,2008,19.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,PL,2008,14.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,RO,2008,80.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,SI,2008,8.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,SK,2008,27.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,NEV,TR,2008,83.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,AT,2008,27,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,BE,2008,15,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,BG,2008,20.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,CY,2008,23.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,CZ,2008,15.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,DE,2008,14.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,EE,2008,8.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,EL,2008,20.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,ES,2008,21,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,FR,2008,22.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,HU,2008,20.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,LV,2008,32.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,MT,2008,18.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,PL,2008,29.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,RO,2008,7.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,SI,2008,27.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,SK,2008,22.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y1-2,TR,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,BE,2008,8.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,BG,2008,10.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,CY,2008,8.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,CZ,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,DE,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,EE,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,EL,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,ES,2008,9.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,FR,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,HU,2008,8.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y2-3,LV,2008,6.9,
