STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,PL,2008,14.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,RO,2008,26.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,SI,2008,23.4,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED3_4,SK,2008,22.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,BG,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,EE,2008,6.0,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,EL,2008,13.7,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,FR,2008,58.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,HU,2008,25.7,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,LV,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,PL,2008,18.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,RO,2008,37.1,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,ED5_6,SK,2008,35.0,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,BG,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,CY,2008,25.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,CZ,2008,18.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,DE,2008,47.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,EE,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,EL,2008,37.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,FR,2008,58.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,HU,2008,30.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,LV,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,MT,2008,46.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,PL,2008,11.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y65-74,TOTAL,RO,2008,19.6,
