STRUCTURE,STRUCTURE_ID,freq,sex,age,frequenc,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,EL,2008,47.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,ES,2008,48.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,FR,2008,26.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,HU,2008,38.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,LV,2008,48.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,MT,2008,34.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,PL,2008,49,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,RO,2008,37.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,SI,2008,56.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,SK,2008,41,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,1D,TOTAL,TR,2008,48.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,BE,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,BG,2008,16.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,CY,2008,11.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,CZ,2008,18.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,EE,2008,25.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,EL,2008,14.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,ES,2008,10.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,FR,2008,11.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,HU,2008,18.8,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,LV,2008,10.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,MT,2008,17,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,PL,2008,16.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,RO,2008,15.1,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,SI,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,SK,2008,12.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED0-2,TR,2008,13.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,BE,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,BG,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,CY,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,CZ,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,EE,2008,21.3,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,EL,2008,14.7,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,ES,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,FR,2008,10,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,HU,2008,17.4,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,LV,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_DE8(1.0),A,F,TOTAL,4-6W,ED3_4,MT,2008,17.2,
