STRUCTURE,STRUCTURE_ID,freq,isced97,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,EL,2008,77.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,ES,2008,76,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,HU,2008,63.7,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,LV,2008,66.7,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,PL,2008,66.6,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,RO,2008,69.1,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,M,TR,2008,57.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,AT,2008,66.7,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,BE,2008,59.5,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,BG,2008,72.7,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,CY,2008,70.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,CZ,2008,59,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,EL,2008,76.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,ES,2008,73.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,HU,2008,61.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,LV,2008,66.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y25-34,T,MT,2008,62.3,u
