STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,ES,2011,1037.528,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,EU28,2011,21039.933,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,FI,2011,462.704,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,FR,2011,4689.957,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,HR,2011,137.9,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,HU,2011,209.228,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,IE,2011,47.701,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,IS,2011,25.681,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,IT,2011,1441.285,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,LT,2011,108.286,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,LU,2011,45.67,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,LV,2011,125.737,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,MT,2011,7.193,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,NL,2011,640.147,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,PL,2011,1242.957,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,PT,2011,624.428,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,RO,2011,507.736,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,SE,2011,650.861,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,SI,2011,124.717,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,SK,2011,127.103,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,T,TR,2011,3486.631,
