STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,EL,2004,9189,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,EL,2005,7601,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,EL,2006,8110,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,EL,2007,7126,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,1995,113687,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,1996,118836,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,1997,119188,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,1998,148393,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,1999,171284,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,2000,188728,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,2001,202293,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,2002,206010,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,2003,205887,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,2004,192649,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,2005,204345,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,2006,206154,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,ES,2007,204079,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,1995,7249,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,1996,7360,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,1997,8626,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,1998,9919,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,1999,10481,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,2000,10796,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,2001,10006,b
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,2002,9917,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,2003,9284,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,2004,9104,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,2005,10338,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,2006,10189,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FI,2007,10631,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,1995,131312,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,1996,122312,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,1997,122542,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,1998,122542,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,1999,117236,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,2000,121882,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,2001,120070,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,2002,121314,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,2003,115796,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,2004,114672,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,2005,117614,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,2006,114195,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,FR,2007,116511,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,1995,1268,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,1996,1196,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,1997,1750,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,1998,1750,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,1999,2231,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,2000,1977,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,2001,4498,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,2002,4197,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,2003,5214,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,2004,5924,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,2005,6205,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,2006,6018,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IE,2007,5362,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,1995,101439,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,1996,101021,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,1997,99202,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,1998,97960,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,1999,100731,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,2000,102789,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,2001,100138,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,2002,89794,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,2003,92902,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,2004,92532,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,2005,88534,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,2006,86176,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,IT,2007,83016,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,1995,2627,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,1996,2612,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,1997,2729,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,1998,2650,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,1999,2840,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,2000,3036,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,2001,3260,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,2002,3497,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,2003,3212,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,2004,3147,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,2005,2675,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,2006,3087,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,LU,2007,2892,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,1995,9114,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,1996,9114,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,1997,9114,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,1998,9114,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,1999,10769,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,2000,10713,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,2001,10047,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,2002,9568,b
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,2003,7280,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,2004,8753,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,2005,22465,b
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,2006,17729,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NL,2007,22754,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,1995,7895,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,1996,7895,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,1997,6953,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,1998,9325,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,1999,8980,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,2000,9868,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,2001,8830,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,2002,8160,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,2003,7783,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,2004,7000,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,2005,7558,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,2006,5653,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,NO,2007,7510,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,1995,38114,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,1996,38114,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,1997,42709,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,1998,42709,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,1999,36786,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,2000,42390,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,2001,45680,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,2002,41920,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,2003,40751,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,2004,42229,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,2005,40185,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,2006,40770,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,PT,2007,37139,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,1995,2969,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,1996,4692,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,1997,3735,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,1998,4704,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,1999,5382,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,2000,5343,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,2001,5865,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,2002,5518,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,2003,5119,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,2004,4507,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,2005,4498,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,2006,4769,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,SE,2007,4665,
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,1995,28226,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,1996,44771,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,1997,49131,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,1998,46218,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,1999,45644,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,2000,49910,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,2001,56267,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,2002,54593,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,2003,54242,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,2004,51671,d
dataflow,ESTAT:HSW_AW_NNAAG(1.0),A,NR,D_GE4,TOTAL,F,UKC-M,2005,52375,d
