STRUCTURE,STRUCTURE_ID,freq,unit,n_portion,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,DE,2014,29.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,DK,2014,20.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,EE,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,EL,2014,15.4,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,ES,2014,22.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,EU27_2020,2014,24.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,EU28,2014,23.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,FI,2014,34.7,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,FR,2014,16.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,HR,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,HU,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,IE,2014,24.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,IS,2014,25.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,IT,2014,24.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,LT,2014,0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,LU,2014,27.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,LV,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,MT,2014,30.0,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,NL,2014,40.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,NO,2014,19.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,PL,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,PT,2014,14.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,RO,2014,0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,SE,2014,26.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,SI,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,SK,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,TR,2014,24.5,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,EU28_FOR,UK,2014,17.0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,AT,2014,19.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,AT,2019,22.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,BE,2014,20.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,BE,2019,22.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,BG,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,BG,2019,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,CY,2014,28.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,CY,2019,33.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,CZ,2014,34.9,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,CZ,2019,32.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,DE,2014,32.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,DE,2019,19.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,DK,2014,22.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,DK,2019,28.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,EE,2014,22.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,EE,2019,25.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,EL,2014,20.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,EL,2019,27.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,ES,2014,23.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,ES,2019,26.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,EU27_2020,2014,25.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,EU27_2020,2019,23.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,EU28,2014,24.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,FI,2014,39.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,FI,2019,35.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,FR,2014,25.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,FR,2019,16.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,HR,2014,32.2,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,HR,2019,25.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,HU,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,HU,2019,27.1,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,IE,2014,25.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,IE,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,IS,2014,25.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,IT,2014,21.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,IT,2019,24.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,LT,2014,39.9,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,LT,2019,15.3,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,LU,2014,29.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,LU,2019,37.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,LV,2014,31.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,LV,2019,33.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,MT,2014,26.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,MT,2019,25.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,NL,2014,34.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,NL,2019,33.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,NO,2014,23.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,PL,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,PL,2019,26.9,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,PT,2014,27.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,PT,2019,18.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,RO,2014,0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,RO,2019,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,SE,2014,31.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,SE,2019,34.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,SI,2014,13.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,SI,2019,26.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,SK,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,SK,2019,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,TR,2014,20.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,FOR,UK,2014,16.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,AT,2014,23.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,AT,2019,27.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,BE,2014,12.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,BE,2019,12.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,BG,2014,56.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,BG,2019,45.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,CY,2014,28.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,CY,2019,29.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,CZ,2014,37.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,CZ,2019,40.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,DE,2014,36.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,DE,2019,23.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,DK,2014,27.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,DK,2019,30.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,EE,2014,30.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,EE,2019,33.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,EL,2014,26.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,EL,2019,28.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,ES,2014,20.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,ES,2019,18.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,EU27_2020,2014,30.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,EU27_2020,2019,27.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,EU28,2014,29.0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,FI,2014,33.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,FI,2019,29.0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,FR,2014,28.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,FR,2019,20.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,HR,2014,24.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,HR,2019,25.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,HU,2014,28.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,HU,2019,30.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,IE,2014,29.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,IE,2019,17.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,IS,2014,27.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,IT,2014,20.0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,IT,2019,20.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,LT,2014,37.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,LT,2019,35.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,LU,2014,28.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,LU,2019,40.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,LV,2014,44.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,LV,2019,49.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,MT,2014,31.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,MT,2019,30.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,NL,2014,39.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,NL,2019,37.0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,NO,2014,23.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,PL,2014,28.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,PL,2019,32.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,PT,2014,17.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,PT,2019,24.0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,RO,2014,62.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,RO,2019,70.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,SE,2014,27.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,SE,2019,28.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,SI,2014,20.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,SI,2019,25.1,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,SK,2014,39.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,SK,2019,35.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,TR,2014,31.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NAT,UK,2014,17.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,AT,2019,25.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,BE,2019,23.0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,BG,2019,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,CY,2019,32.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,CZ,2019,28.0,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,DE,2019,18.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,DK,2019,32.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,EE,2019,25.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,EL,2019,20.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,ES,2019,26.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,EU27_2020,2019,23.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,FI,2019,35.3,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,FR,2019,19.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,HR,2019,24.4,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,HU,2019,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,IE,2019,12.5,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,IT,2019,24.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,LT,2019,13.8,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,LU,2019,50.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,LV,2019,35.3,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,MT,2019,27.0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,NL,2019,40.9,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,PL,2019,28.3,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,PT,2019,18.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,RO,2019,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,SE,2019,38.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,SI,2019,27.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU27_2020_FOR,SK,2019,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,AT,2014,16.0,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,BE,2014,26.8,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,BG,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,CY,2014,27.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,CZ,2014,,u
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,DE,2014,37.2,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,DK,2014,23.7,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,EE,2014,22.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,EL,2014,21.6,
dataflow,ESTAT:HLTH_EHIS_FV3C(1.0),A,PC,0,F,TOTAL,NEU28_FOR,ES,2014,24.8,
