STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,EL,2008,37.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,ES,2008,43.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,HU,2008,49.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,LV,2008,39,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,MT,2008,36.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,PL,2008,44.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,RO,2008,25.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,SI,2008,42.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,SK,2008,47,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED3_4,T,PC,TR,2008,20.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,AT,2008,45.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,BE,2008,55.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,BG,2008,31.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,CY,2008,34.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,CZ,2008,49.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,EL,2008,41,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,ES,2008,48.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,HU,2008,48.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,LV,2008,47.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,MT,2008,41.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,PL,2008,47.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,RO,2008,23.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,SI,2008,34.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,SK,2008,45.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,F,PC,TR,2008,30.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,AT,2008,39.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,BE,2008,41.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,BG,2008,33.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,CY,2008,29.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,CZ,2008,41.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,EL,2008,40.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,ES,2008,39,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,HU,2008,46,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,LV,2008,30.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,MT,2008,34.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,PL,2008,40.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,RO,2008,21.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED5_6,M,PC,SI,2008,41,
