STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,LV,2012,21.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,MT,2012,2.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,NL,2012,328.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,NO,2012,106.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,PL,2012,375.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,PT,2012,41.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,RO,2012,60.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,SE,2012,180.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,SI,2012,16.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,SK,2012,43.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,T,UK,2012,1407.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,AT,2012,107.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,BE,2012,308.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,BG,2012,83.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,CY,2012,10.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,CZ,2012,102.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,DE,2012,1888.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,DK,2012,169.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,EE,2012,19.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,EEA,2012,9106.1,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,EL,2012,98.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,ES,2012,798.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,EU27_2007,2012,8879.6,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,FI,2012,94.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,FR,2012,849.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,HU,2012,179.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,IS,2012,9.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,IT,2012,514.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,LT,2012,47.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,LU,2012,11.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,LV,2012,31.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,MT,2012,3.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,NL,2012,532.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,NO,2012,217.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,PL,2012,506.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,PT,2012,95.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,RO,2012,125.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,SE,2012,233.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,SI,2012,27.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,F,SK,2012,64.1,
