STRUCTURE,STRUCTURE_ID,freq,unit,severity,bodypart,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,2005,384174,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,2006,386931,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,TOTAL,EU15_NO,2007,532408,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,1996,13864,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,1997,1764,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,1998,1837,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,1999,2108,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,2000,1994,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,2001,8079,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,2002,2806,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,2003,6859,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,2004,2666,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,2005,33798,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,2006,52708,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D14-20,UNK,EU15_NO,2007,59982,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,1996,16539,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,1997,11057,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,1998,11089,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,1999,11414,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,2000,11855,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,2001,14113,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,2002,9929,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,2003,27725,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,2004,15644,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,2005,13506,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,2006,11101,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP1,EU15_NO,2007,8614,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,1996,5456,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,1997,5103,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,1998,6367,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,1999,7322,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,2000,9171,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,2001,9359,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,2002,8675,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,2003,19435,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,2004,13341,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,2005,14547,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,2006,12617,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP2,EU15_NO,2007,8057,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,1996,27253,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,1997,18625,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,1998,20022,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,1999,21306,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,2000,24316,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,2001,25348,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,2002,24539,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,2003,69666,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,2004,43560,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,2005,50804,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,2006,42069,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP3,EU15_NO,2007,26180,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,1996,20201,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,1997,17424,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,1998,17881,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,1999,18222,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,2000,19048,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,2001,20448,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,2002,18710,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,2003,26908,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,2004,20326,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,2005,20575,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,2006,16868,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP4,EU15_NO,2007,13992,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,1996,120728,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,1997,103124,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,1998,105020,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,1999,105124,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,2000,110836,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,2001,108120,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,2002,100979,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,2003,187476,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,2004,135708,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,2005,139542,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,2006,118023,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP5,EU15_NO,2007,87578,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,1996,88502,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,1997,75625,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,1998,76896,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,1999,76378,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,2000,80940,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,2001,77541,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,2002,72256,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,2003,140033,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,2004,97854,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,2005,106588,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,2006,93172,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP6,EU15_NO,2007,67074,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,1996,10952,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,1997,7654,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,1998,7791,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,1999,7995,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,2000,8480,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,2001,8453,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,2002,8867,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,2003,14161,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,2004,10564,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,2005,11541,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,2006,10062,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,BP7,EU15_NO,2007,8261,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,1996,373,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,1997,1106,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,1998,976,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,1999,629,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,2000,637,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,2001,287,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,2002,919,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,2003,1402,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,2004,2272,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,2005,2037,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,2006,1376,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,OTH,EU15_NO,2007,830,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,1996,297775,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,1997,240793,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,1998,247131,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,1999,249687,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,2000,266499,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,2001,269260,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,2002,266107,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,2003,516906,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,2004,357235,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,2005,361973,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,2006,315325,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,TOTAL,EU15_NO,2007,230766,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,1996,7771,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,1997,1075,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,1998,1089,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,1999,1297,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,2000,1216,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,2001,5591,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,2002,21233,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,2003,30100,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,2004,17966,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,2005,2833,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,2006,10037,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D21-M1,UNK,EU15_NO,2007,10180,p
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D4-6,BP1,EU15_NO,1996,65638,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D4-6,BP1,EU15_NO,1997,55332,
dataflow,ESTAT:HSW_AW_NBOSV(1.0),A,NR,D4-6,BP1,EU15_NO,1998,56462,
