STRUCTURE,STRUCTURE_ID,freq,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LT,2018,9800,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LT,2019,9390,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LT,2020,10287,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2011,4041,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2012,3987,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2013,3670,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2014,3666,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2015,3642,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2016,3410,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2017,3183,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2018,3105,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2019,3192,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LU,2020,3093,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2011,12528,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2012,12339,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2013,11997,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2014,11911,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2015,11278,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2016,10937,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2017,11079,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2018,10790,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,LV,2019,9894,
