STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,PT,2012,52.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,RO,2012,128.6,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,SE,2012,122.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,SI,2012,13.9,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,SK,2012,51.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,F,UK,2012,683.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,AT,2012,123.5,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,BE,2012,83.4,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,BG,2012,57.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,CY,2012,9.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,CZ,2012,39.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,DE,2012,1433.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,DK,2012,54.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,EE,2012,9.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,EEA,2012,4422.9,e
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,EL,2012,67.4,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,ES,2012,224.6,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,EU27_2007,2012,4354.1,e
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,FI,2012,46.6,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,FR,2012,481.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,HU,2012,89.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,IS,2012,2.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,IT,2012,184.9,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,LT,2012,24.5,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,LU,2012,8.4,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,M,LV,2012,17.1,
