STRUCTURE,STRUCTURE_ID,freq,unit,barrier,hlth_pb,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,PL,2012,54.1,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,PT,2012,13.3,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,RO,2012,76.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,SE,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,SI,2012,4.9,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,SK,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,F,UK,2012,160.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,AT,2012,35.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,BE,2012,25.9,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,BG,2012,32.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,CY,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,CZ,2012,13.8,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,DE,2012,221.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,DK,2012,8.4,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,EE,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,EEA,2012,1212.0,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,EL,2012,44.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,ES,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,EU27_2007,2012,1202.0,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,FI,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,FR,2012,63.5,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,HU,2012,36.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,IS,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,IT,2012,160.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,LT,2012,6.6,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,LU,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,LV,2012,1.9,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,MT,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,NL,2012,39.1,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,NO,2012,9.3,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,PL,2012,63.9,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,PT,2012,23.0,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,RO,2012,105.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,SE,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,SI,2012,6.7,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,SK,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,M,UK,2012,252.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,AT,2012,92.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,BE,2012,57.2,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,BG,2012,56.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,CY,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,CZ,2012,26.8,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,DE,2012,366.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,DK,2012,16.7,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,EE,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,EEA,2012,2235.7,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,EL,2012,96.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,ES,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,EU27_2007,2012,2210.0,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,FI,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,FR,2012,120.8,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,HU,2012,93.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,IS,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,IT,2012,335.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,LT,2012,15.0,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,LU,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,LV,2012,5.0,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,MT,2012,,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,NL,2012,76.5,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,NO,2012,24.8,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,PL,2012,118.0,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,PT,2012,36.3,u
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,RO,2012,182.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1001,T,SE,2012,,u
