STRUCTURE,STRUCTURE_ID,freq,sex,age,quant_inc,lev_diff,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,IE,2019,77.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,IS,2019,46.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,IT,2019,77.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,LT,2019,44.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,LU,2019,67.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,LV,2019,49.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,MT,2019,67.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,NL,2019,35.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,NO,2019,70.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,PL,2019,60.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,PT,2019,59.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,RO,2019,40.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,RS,2019,73.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,SE,2019,62.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,SI,2019,72.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,SK,2019,52.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,NONE,PC,TR,2019,44.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU2,SEV,PC,AT,2019,9.9,
