STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,workproc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,O,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,O,WPR1,EU_V,2005,15.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,O,WPR2,EU_V,2005,2.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,O,WPR3,EU_V,2005,2.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,O,WPR4,EU_V,2005,22.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,O,WPR5,EU_V,2005,32.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,O,WPR6,EU_V,2005,19.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,P,OTH,EU_V,2005,5.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,P,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,P,WPR1,EU_V,2005,6.1,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,P,WPR2,EU_V,2005,8.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,P,WPR3,EU_V,2005,4.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,P,WPR4,EU_V,2005,28.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,P,WPR5,EU_V,2005,32.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,P,WPR6,EU_V,2005,13.8,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,Q,OTH,EU_V,2005,7.7,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,Q,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,Q,WPR1,EU_V,2005,17.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,Q,WPR2,EU_V,2005,10.1,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,Q,WPR3,EU_V,2005,7.4,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,Q,WPR4,EU_V,2005,23.5,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,Q,WPR5,EU_V,2005,18.9,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,Q,WPR6,EU_V,2005,15.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,OTH,EU_V,2005,2.6,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,WPR1,EU_V,2005,37.2,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,WPR2,EU_V,2005,13.3,
dataflow,ESTAT:HSW_AW_WP3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,WPR3,EU_V,2005,4.9,
