STRUCTURE,STRUCTURE_ID,freq,sex,age,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,SI,2013,35.4,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,SI,2020,27.4,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,SK,2007,26.2,du
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,SK,2013,,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,SK,2020,,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,TR,2013,27.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,UK,2007,33.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED0-2,PC_EMP,UK,2013,,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,AT,2007,34.1,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,AT,2013,64.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,AT,2020,75.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,BE,2007,16.3,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,BE,2013,44.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,BE,2020,64.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,BG,2007,35.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,BG,2013,41.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,BG,2020,63.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,CH,2013,62.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,CH,2020,78.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,CY,2007,27.9,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,CY,2013,39.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,CY,2020,55.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,CZ,2007,19.6,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,CZ,2013,32.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,CZ,2020,42.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,DE,2007,9.7,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,DE,2013,22.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,DE,2020,27.8,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,DK,2007,33.4,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,DK,2013,26.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,DK,2020,46.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EA19,2007,30.2,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EA19,2013,49.7,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EA19,2020,52.7,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EE,2007,33.4,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EE,2013,71.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EE,2020,65.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EL,2007,25.6,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EL,2013,50.7,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EL,2020,69.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,ES,2007,34.4,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,ES,2013,49.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,ES,2020,71.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EU27_2020,2007,31.2,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EU27_2020,2013,48.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EU27_2020,2020,54.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,EU28,2007,31.4,d
