STRUCTURE,STRUCTURE_ID,freq,unit,barrier,hhcomp,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,BE,2012,71.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,BG,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,CY,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,CZ,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,DE,2012,178.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,DK,2012,22.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,EE,2012,3.6,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,EEA,2012,1117.3,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,EL,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,ES,2012,111.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,EU27_2007,2012,1094.3,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,FI,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,FR,2012,117.0,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,HU,2012,27.7,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,IS,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,IT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,LT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,LU,2012,2.1,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,LV,2012,1.8,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,MT,2012,1.0,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,NL,2012,70.2,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,NO,2012,22.8,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,PL,2012,74.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,PT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,RO,2012,35.8,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,SE,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,SI,2012,12.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,SK,2012,22.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,F,UK,2012,222.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,AT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,BE,2012,24.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,BG,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,CY,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,CZ,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,DE,2012,118.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,DK,2012,25.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,EE,2012,1.6,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,EEA,2012,897.0,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,EL,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,ES,2012,131.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,EU27_2007,2012,873.0,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,FI,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,FR,2012,66.9,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,HU,2012,21.1,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,IS,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,IT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,LT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,LU,2012,2.5,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,LV,2012,0.9,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,MT,2012,0.9,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,NL,2012,23.0,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,NO,2012,23.7,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,PL,2012,68.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,PT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,RO,2012,47.3,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,SE,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,SI,2012,7.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,SK,2012,23.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,M,UK,2012,217.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,AT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,BE,2012,96.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,BG,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,CY,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,CZ,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,DE,2012,297.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,DK,2012,47.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,EE,2012,5.2,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,EEA,2012,2014.3,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,EL,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,ES,2012,242.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,EU27_2007,2012,1967.3,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,FI,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,FR,2012,183.9,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,HU,2012,48.8,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,IS,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,IT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,LT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,LU,2012,4.5,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,LV,2012,2.8,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,MT,2012,1.9,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,NL,2012,93.2,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,NO,2012,46.5,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,PL,2012,143.6,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,PT,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,RO,2012,83.1,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,SE,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,SI,2012,19.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,SK,2012,46.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_YCH,T,UK,2012,440.1,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,AT,2012,27.5,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,BE,2012,47.0,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,BG,2012,53.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,CY,2012,3.1,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,CZ,2012,46.7,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,DE,2012,363.6,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,DK,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,EE,2012,7.9,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,EEA,2012,3975.3,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,EL,2012,172.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,ES,2012,550.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,EU27_2007,2012,3960.4,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,FI,2012,16.2,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,FR,2012,276.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,HU,2012,237.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,IS,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,IT,2012,292.1,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,LT,2012,68.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,LU,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,LV,2012,34.6,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,MT,2012,3.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,NL,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,NO,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,PL,2012,548.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,PT,2012,134.1,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,RO,2012,516.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,SE,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,SI,2012,22.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,SK,2012,12.1,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,F,UK,2012,486.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,AT,2012,29.4,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,BE,2012,31.0,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,BG,2012,41.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,CY,2012,1.8,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,CZ,2012,14.2,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,DE,2012,187.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,DK,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,EE,2012,3.4,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,EEA,2012,2366.6,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,EL,2012,100.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,ES,2012,278.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,EU27_2007,2012,2356.9,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,FI,2012,14.7,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,FR,2012,99.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,HU,2012,85.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,IS,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,IT,2012,181.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,LT,2012,33.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,LU,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,LV,2012,8.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,MT,2012,3.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,NL,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,NO,2012,,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,PL,2012,203.6,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,OTH,M,PT,2012,74.5,
