STRUCTURE,STRUCTURE_ID,freq,unit,sex,nace_r2,severity,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NL,2021,25,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2010,46,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2011,54,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2012,37,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2013,48,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2014,61,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2015,40,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2016,45,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2017,44,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2018,37,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2019,33,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2020,41,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,NO,2021,39,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2010,446,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2011,404,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2012,350,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2013,277,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2014,263,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2015,304,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2016,243,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2017,270,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2018,211,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2019,184,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2020,190,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PL,2021,220,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2010,204,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2011,192,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2012,169,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2013,160,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2014,160,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2015,161,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2016,138,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2017,140,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2018,103,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2019,104,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2020,131,b
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,PT,2021,93,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2010,381,
dataflow,ESTAT:HSW_MI08(1.0),A,NR,T,TOTAL,FAT,RO,2011,297,
