STRUCTURE,STRUCTURE_ID,freq,unit,wsta_acc,age,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,CONT_BRU,EU_V,1999,0.8,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,CUT_LACE,EU_V,1999,0.8,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,INJ020,EU_V,1999,4.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,INJ030,EU_V,1999,1.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,INJ040,EU_V,1999,9.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,INJ060,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,INJ072,EU_V,1999,0.6,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,OTH,EU_V,1999,1.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,POIS_ASP,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,TOTAL,EU_V,1999,1.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y45-54,UNK,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,CONT_BRU,EU_V,1999,0.9,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,CUT_LACE,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,INJ020,EU_V,1999,2.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,INJ030,EU_V,1999,0.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,INJ040,EU_V,1999,2.6,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,INJ060,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,INJ072,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,OTH,EU_V,1999,1.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,POIS_ASP,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,TOTAL,EU_V,1999,0.7,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y55-64,UNK,EU_V,1999,0.3,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,CONT_BRU,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,CUT_LACE,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,INJ020,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,INJ030,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,INJ040,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,INJ060,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,INJ072,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,OTH,EU_V,1999,0.2,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,POIS_ASP,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,TOTAL,EU_V,1999,0.1,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,NOT_RECO,Y_GE65,UNK,EU_V,1999,0.0,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,CONT_BRU,EU_V,1999,1.8,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,CUT_LACE,EU_V,1999,0.9,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,INJ020,EU_V,1999,3.4,
dataflow,ESTAT:HSW_IJ_INWSA(1.0),A,PC,OTHER,TOTAL,INJ030,EU_V,1999,1.4,
