STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,worktime,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,DK,2011,160.019,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,EE,2011,72.879,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,EL,2011,150.377,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,ES,2011,863.135,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,EU28,2011,15559.369,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,FI,2011,384.197,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,FR,2011,3545.558,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,HR,2011,113.527,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,HU,2011,155.048,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,IE,2011,33.05,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,IS,2011,19.246,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,IT,2011,1171.975,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,LT,2011,95.135,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,LU,2011,35.022,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,LV,2011,109.896,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,MT,2011,5.521,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,NL,2011,251.438,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,PL,2011,1042.099,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,PT,2011,511.76,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,RO,2011,389.399,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,SE,2011,423.005,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,SI,2011,106.157,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,SK,2011,111.016,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,TR,2011,2784.269,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,T,UK,2011,2162.553,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,AT,2011,14.448,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,BE,2011,3.125,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,CH,2011,29.915,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,CY,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,CZ,2011,2.076,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,DE,2011,61.716,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,DK,2011,3.625,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,EL,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,ES,2011,6.759,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,EU28,2011,239.741,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,FI,2011,3.097,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,FR,2011,51.055,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,HU,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,IS,2011,1.722,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,NL,2011,2.834,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,PL,2011,7.629,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,RO,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,SE,2011,9.17,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,SI,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,TR,2011,39.472,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,F,UK,2011,57.362,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,AT,2011,21.423,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,BE,2011,7.517,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,CH,2011,32.071,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,CY,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,CZ,2011,1.491,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,DE,2011,90.06,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,DK,2011,4.622,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,EL,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,ES,2011,7.389,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,EU28,2011,315.425,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,FI,2011,7.494,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,FR,2011,64.831,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,HR,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,HU,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,M,IS,2011,1.337,
