STRUCTURE,STRUCTURE_ID,freq,hlthcare,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2019,103.02,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2020,97.71,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2021,97.91,dp
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2014,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2015,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2016,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2017,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2018,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2019,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2020,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2021,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2011,56.96,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2012,57.41,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2013,57.64,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2014,57.34,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2015,55.66,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2016,56.32,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2017,55.96,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2018,56.77,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2019,56.93,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2020,43.08,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2021,44.72,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SK,2018,80.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SK,2019,80.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SK,2020,70.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SK,2021,70.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2002,79.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2003,83.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2004,86.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2005,86.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2006,88.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2007,80.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2008,67.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2009,78.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2010,77.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2011,83.90,b
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2012,77.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2013,84.90,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2014,84.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2015,82.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2016,81.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2017,80.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2018,83.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2019,79.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2020,59.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2021,58.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2016,76.86,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2017,76.86,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2018,77.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2019,76.28,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2020,65.55,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2021,67.98,
