STRUCTURE,STRUCTURE_ID,freq,unit,sex,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED5_6,EU_V,1999,65,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED5_6,FI,1999,55,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED5_6,HU,1999,24,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED5_6,LU,1999,43,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,ED5_6,SE,1999,87,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,TOTAL,DE,1999,100,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,TOTAL,DK,1999,100,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,TOTAL,EL,1999,100,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,TOTAL,ES,1999,100,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,TOTAL,EU_V,1999,100,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,TOTAL,FI,1999,100,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,TOTAL,HU,1999,100,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,TOTAL,LU,1999,100,
dataflow,ESTAT:HSW_IJ_EDSE(1.0),A,RT,T,TOTAL,SE,1999,100,
