STRUCTURE,STRUCTURE_ID,freq,sex,age,c_birth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,PL,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,PT,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,PT,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,PT,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,RO,2007,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,SE,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,SE,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,SE,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,SI,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,SI,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,SI,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,SK,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,SK,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,SK,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,TR,2013,0.4,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,UK,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_EMP_PREEMP_M12,UK,2013,1.7,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,AT,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,AT,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,AT,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,BE,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,BE,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,BE,2020,81.4,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,CH,2013,47.7,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,CH,2020,55.4,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,CY,2013,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,CY,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,CZ,2007,,cd
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,CZ,2020,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,DK,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,DK,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,DK,2020,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,EA19,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,EA19,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,EL,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,EL,2013,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,EL,2020,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,ES,2007,94.9,d
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,ES,2013,55.0,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,ES,2020,68.6,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,EU27_2020,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,EU27_2020,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,EU28,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,FI,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,FI,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,FI,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,FR,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,FR,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,FR,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,HR,2020,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,IE,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,IE,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,IE,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,IS,2007,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,IS,2020,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,IT,2007,66.2,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,IT,2013,73.7,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,IT,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,LT,2013,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,LU,2007,76.1,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,LU,2013,84.4,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,LU,2020,64.7,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,NL,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,NL,2020,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,NO,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,NO,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,NO,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,PT,2013,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,PT,2020,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,SE,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,SE,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,SE,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,SI,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,SI,2013,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,SI,2020,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,TR,2013,,c
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,UK,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,EU27_2020_FOR,PC_PER_ACC,UK,2013,66.3,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,AT,2007,4.3,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,AT,2013,2.2,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,AT,2020,1.7,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,BE,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,BE,2013,1.9,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,BE,2020,1.5,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,BG,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,BG,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,BG,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,CH,2013,2.0,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,CH,2020,2.8,
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,CY,2007,1.6,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,CY,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,CY,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,CZ,2007,2.3,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,CZ,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,CZ,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,DE,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,DK,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,DK,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,DK,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EA19,2007,1.9,d
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,EA19,2020,1.1,
