STRUCTURE,STRUCTURE_ID,freq,bmi,sex,age,quantile,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,EL,2008,61.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,ES,2008,65.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,HU,2008,53.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,LV,2008,63.6,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,MT,2008,53.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,PL,2008,56.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,RO,2008,54.7,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,SI,2008,70.4,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,SK,2008,62.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU5,TR,2008,48.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,AT,2008,54.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,BE,2008,54.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,BG,2008,50.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,CY,2008,52.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,CZ,2008,47.4,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,DE,2008,52.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,TOTAL,EE,2008,48.0,
