STRUCTURE,STRUCTURE_ID,freq,unit,assist,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,PT,2012,34.6,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,RO,2012,112.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,SE,2012,17.6,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,SI,2012,4.2,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,SK,2012,3.9,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,M,UK,2012,418.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,AT,2012,28.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,BE,2012,233.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,BG,2012,70.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,CY,2012,10.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,CZ,2012,18.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,DE,2012,609.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,DK,2012,67.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,EE,2012,24.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,EEA,2012,6629.5,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,EL,2012,138.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,ES,2012,1050.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,EU27_2007,2012,6535.4,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,FI,2012,13.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,FR,2012,991.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,HU,2012,88.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,IS,2012,3.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,IT,2012,825.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,LT,2012,60.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,LU,2012,5.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,LV,2012,17.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,MT,2012,7.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,NL,2012,218.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,NO,2012,90.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,PL,2012,497.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,PT,2012,103.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,INAC_OTH,T,RO,2012,222.2,
