STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,wrkstat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,Q,TOTAL,EU_V,2005,2318.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,Q,WST_1,EU_V,2005,1906.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,Q,WST_2,EU_V,2005,300.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,Q,WST_9,EU_V,2005,112.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,TOTAL,TOTAL,EU_V,2005,2002.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,TOTAL,WST_1,EU_V,2005,1779.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,TOTAL,WST_2,EU_V,2005,125.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,TOTAL,T,TOTAL,WST_9,EU_V,2005,97.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y15-17,T,TOTAL,TOTAL,EU_V,2005,3360.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y15-17,T,TOTAL,WST_1,EU_V,2005,2969.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y15-17,T,TOTAL,WST_2,EU_V,2005,237.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y15-17,T,TOTAL,WST_9,EU_V,2005,154.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y18-24,T,TOTAL,TOTAL,EU_V,2005,3178.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y18-24,T,TOTAL,WST_1,EU_V,2005,2854.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y18-24,T,TOTAL,WST_2,EU_V,2005,166.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y18-24,T,TOTAL,WST_9,EU_V,2005,158.5,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y25-34,T,TOTAL,TOTAL,EU_V,2005,2108.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y25-34,T,TOTAL,WST_1,EU_V,2005,1863.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y25-34,T,TOTAL,WST_2,EU_V,2005,137.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y25-34,T,TOTAL,WST_9,EU_V,2005,108.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y35-44,T,TOTAL,TOTAL,EU_V,2005,1891.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y35-44,T,TOTAL,WST_1,EU_V,2005,1674.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y35-44,T,TOTAL,WST_2,EU_V,2005,123.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y35-44,T,TOTAL,WST_9,EU_V,2005,93.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y45-54,T,TOTAL,TOTAL,EU_V,2005,1614.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y45-54,T,TOTAL,WST_1,EU_V,2005,1436.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y45-54,T,TOTAL,WST_2,EU_V,2005,108.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y45-54,T,TOTAL,WST_9,EU_V,2005,68.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y55-64,T,TOTAL,TOTAL,EU_V,2005,1864.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y55-64,T,TOTAL,WST_1,EU_V,2005,1675.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y55-64,T,TOTAL,WST_2,EU_V,2005,107.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y55-64,T,TOTAL,WST_9,EU_V,2005,81.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y_GE65,T,TOTAL,TOTAL,EU_V,2005,622.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y_GE65,T,TOTAL,WST_1,EU_V,2005,540.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y_GE65,T,TOTAL,WST_2,EU_V,2005,24.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,D_GE4,Y_GE65,T,TOTAL,WST_9,EU_V,2005,57.8,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,F,TOTAL,TOTAL,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,F,TOTAL,WST_1,EU_V,2005,0.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,F,TOTAL,WST_2,EU_V,2005,0.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,F,TOTAL,WST_9,EU_V,2005,0.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,M,TOTAL,TOTAL,EU_V,2005,6.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,M,TOTAL,WST_1,EU_V,2005,3.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,M,TOTAL,WST_2,EU_V,2005,2.6,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,M,TOTAL,WST_9,EU_V,2005,0.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,A,TOTAL,EU_V,2005,4.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,A,WST_1,EU_V,2005,3.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,A,WST_2,EU_V,2005,0.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,A,WST_9,EU_V,2005,0.4,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,B,TOTAL,EU_V,2005,14.3,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,B,WST_1,EU_V,2005,9.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,C,TOTAL,EU_V,2005,15.9,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,C,WST_1,EU_V,2005,11.7,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,C,WST_2,EU_V,2005,3.0,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,C,WST_9,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,D,TOTAL,EU_V,2005,4.2,
dataflow,ESTAT:HSW_AW_WS2(1.0),A,RT,FAT,TOTAL,T,D,WST_1,EU_V,2005,2.4,
