STRUCTURE,STRUCTURE_ID,freq,unit,sex,indic_de,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,FX,2012,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2011,0.22,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2012,0.12,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2013,0.05,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2014,0.08,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2015,0.05,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2016,0.19,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2017,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2018,0.13,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HR,2020,0.2,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2011,0.05,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2012,0.06,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2013,0.07,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2014,0.02,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2015,0.08,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2016,0.05,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2017,0.05,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,HU,2020,0.03,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2011,0.18,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2012,0.18,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2013,0.23,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2014,0.28,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2015,0.14,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2016,0.14,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,IE,2017,0.21,
