STRUCTURE,STRUCTURE_ID,freq,unit,barrier,isced97,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,DE,2012,1161.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,DK,2012,40.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,EE,2012,12.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,EEA,2012,3790.3,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,EL,2012,34.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,ES,2012,103.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,EU27_2007,2012,3739.3,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,FI,2012,22.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,FR,2012,224.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,HU,2012,158.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,IS,2012,0.7,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,IT,2012,82.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,LT,2012,24.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,LU,2012,3.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,LV,2012,14.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,MT,2012,0.9,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,NL,2012,53.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,NO,2012,50.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,PL,2012,268.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,PT,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,RO,2012,325.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,SE,2012,42.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,SI,2012,24.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,SK,2012,58.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,M,UK,2012,751.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,AT,2012,141.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,BE,2012,166.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,BG,2012,178.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,CY,2012,5.4,u
