STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,frequenc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,DAY,PC,HU,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,DAY,PC,LV,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,DAY,PC,MT,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,DAY,PC,PL,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,DAY,PC,RO,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,DAY,PC,SI,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,DAY,PC,SK,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,BE,2008,51.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,BG,2008,60.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,CY,2008,66.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,CZ,2008,52.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,EL,2008,52.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,ES,2008,51.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,FR,2008,60.4,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,HU,2008,55.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,LV,2008,81.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,MT,2008,56.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,PL,2008,77.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,RO,2008,68.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,SI,2008,72.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,MTH,PC,SK,2008,77.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,BE,2008,13.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,BG,2008,27.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,CY,2008,26.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,CZ,2008,14.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,EL,2008,30.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,ES,2008,29.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,FR,2008,20.2,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,HU,2008,34.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,LV,2008,14.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,MT,2008,26.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,PL,2008,16.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,RO,2008,29.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,SI,2008,12.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,NVR,PC,SK,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,BE,2008,28.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,BG,2008,10.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,CY,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,CZ,2008,28.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,EL,2008,14.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,ES,2008,14.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,FR,2008,16.2,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,HU,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,LV,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,MT,2008,13.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,PL,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,RO,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,SI,2008,13.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED5_6,WEEK,PC,SK,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,BE,2008,9.0,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,TOTAL,DAY,PC,BG,2008,2.2,
