STRUCTURE,STRUCTURE_ID,freq,sex,age,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,PT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,PT,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,RO,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,RO,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,SE,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,SE,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,SI,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,SI,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,SK,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,SK,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,TR,2013,1.1,
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_EMP_PREEMP_M12,UK,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,AT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,AT,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,BE,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,BE,2020,,u
