STRUCTURE,STRUCTURE_ID,freq,unit,age,severity,frequenc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,D_GE4,NVR,EU_V,1999,83,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,D_GE4,SMT,EU_V,1999,166,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,D_GE4,TOTAL,EU_V,1999,99,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,D_GE4,USU,EU_V,1999,158,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,TOTAL,NVR,EU_V,1999,80,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,TOTAL,SMT,EU_V,1999,155,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,TOTAL,TOTAL,EU_V,1999,93,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y35-44,TOTAL,USU,EU_V,1999,140,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,D_GE14,NVR,EU_V,1999,74,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,D_GE14,SMT,EU_V,1999,109,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,D_GE14,TOTAL,EU_V,1999,80,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,D_GE14,USU,EU_V,1999,109,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,D_GE4,NVR,EU_V,1999,71,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,D_GE4,SMT,EU_V,1999,104,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,D_GE4,TOTAL,EU_V,1999,78,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,D_GE4,USU,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,TOTAL,NVR,EU_V,1999,74,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,TOTAL,SMT,EU_V,1999,95,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,TOTAL,TOTAL,EU_V,1999,80,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y45-54,TOTAL,USU,EU_V,1999,113,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,D_GE14,NVR,EU_V,1999,66,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,D_GE14,SMT,EU_V,1999,170,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,D_GE14,TOTAL,EU_V,1999,81,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,D_GE14,USU,EU_V,1999,163,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,D_GE4,NVR,EU_V,1999,64,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,D_GE4,SMT,EU_V,1999,148,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,D_GE4,TOTAL,EU_V,1999,79,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,D_GE4,USU,EU_V,1999,161,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,TOTAL,NVR,EU_V,1999,71,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,TOTAL,SMT,EU_V,1999,133,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,TOTAL,TOTAL,EU_V,1999,87,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y55-64,TOTAL,USU,EU_V,1999,178,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y_GE65,D_GE14,TOTAL,EU_V,1999,93,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y_GE65,D_GE4,TOTAL,EU_V,1999,109,
dataflow,ESTAT:HSW_IJ_SVSHA(1.0),A,RT,Y_GE65,TOTAL,TOTAL,EU_V,1999,168,
