STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,SK,2012,49.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,T,UK,2012,928.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,AT,2012,118.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,BE,2012,156.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,BG,2012,172.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,CY,2012,15.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,CZ,2012,200.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,DE,2012,1873.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,DK,2012,119.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,EE,2012,26.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,EEA,2012,7448.5,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,EL,2012,163.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,ES,2012,409.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,EU27_2007,2012,7337.7,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,FI,2012,94.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,FR,2012,819.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,HU,2012,236.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,IS,2012,4.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,IT,2012,884.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,LT,2012,42.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,LU,2012,5.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,LV,2012,48.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,MT,2012,3.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,NL,2012,305.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,NO,2012,106.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,PL,2012,461.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,PT,2012,131.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,RO,2012,76.8,u
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,F,SE,2012,153.0,
