STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,SI,2011,1.536,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,SK,2011,6.605,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,TR,2011,153.851,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,T,UK,2011,331.749,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,AT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,BE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,CH,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,CY,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,DK,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,EL,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,ES,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,HU,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,NL,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,PL,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,RO,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,SI,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,TR,2011,6.871,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,F,UK,2011,20.006,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,AT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,BE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,CH,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,CY,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,DK,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,EL,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,ES,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,HR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,HU,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,IT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,LT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,MT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,NL,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,PL,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,RO,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,SI,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,TR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,T,AT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,T,BE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,T,BG,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,T,CH,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,T,CY,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y15-24,T,DK,2011,,u
