STRUCTURE,STRUCTURE_ID,freq,unit,severity,sizeclas,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,A_D-K,EU15_NO,2007,2184,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,1996,6238,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,1997,5962,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,1998,5755,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,1999,7848,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,2000,4608,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,2001,4313,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,2002,3698,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,2003,3732,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,2004,3658,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,2005,3377,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,2006,3037,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,D,EU15_NO,2007,2829,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,1996,2809,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,1997,3355,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,1998,3448,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,1999,4658,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,2002,778,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,2003,906,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,2004,958,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,2005,1172,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,2006,1003,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,E,EU15_NO,2007,1209,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,1996,9287,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,1997,9365,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,1998,9191,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,1999,8990,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,2000,7743,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,2001,6709,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,2002,6331,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,2003,6313,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,2004,6190,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,2005,6404,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,2006,6274,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,F,EU15_NO,2007,5215,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,1996,2249,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,1997,2231,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,1998,2273,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,1999,2247,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,2000,1866,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,2001,1687,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,2002,1612,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,2003,1506,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,2004,1455,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,2005,1440,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,2006,1396,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,G,EU15_NO,2007,1268,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,1996,3136,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,1997,3015,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,1998,3131,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,1999,3272,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,2002,1853,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,2003,1912,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,2004,1886,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,2005,2070,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,2006,2139,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,H,EU15_NO,2007,1780,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,1996,6973,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,1997,7000,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,1998,7146,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,1999,5046,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,2000,5145,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,2001,4622,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,2002,3423,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,2003,3166,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,2004,3154,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,2005,3254,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,2006,3194,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,I,EU15_NO,2007,2913,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,1996,1020,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,1997,1029,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,1998,1064,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,1999,769,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,2000,897,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,2001,855,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,2002,827,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,2003,875,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,2004,742,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,2005,722,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,2006,751,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,1-9,J_K,EU15_NO,2007,658,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A,EU15_NO,2002,5697,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A,EU15_NO,2003,,p
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A,EU15_NO,2004,,p
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,1996,5195,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,1997,5098,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,1998,5175,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,1999,5218,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,2000,4686,b
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,2001,4253,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,2002,4133,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,2003,4077,
dataflow,ESTAT:HSW_AW_INASZ(1.0),A,RT,D_GE4,10-49,A_D-K,EU15_NO,2004,4033,
