STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,modinj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,CMI80,EU_V,2005,347,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,CMI90,EU_V,2005,408,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,J,TOTAL,EU_V,2005,15148,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,CMI10,EU_V,2005,6253,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,CMI20,EU_V,2005,175,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,CMI30,EU_V,2005,58515,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,CMI40,EU_V,2005,36392,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,CMI50,EU_V,2005,33336,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,CMI60,EU_V,2005,12400,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,CMI70,EU_V,2005,35435,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,CMI80,EU_V,2005,4252,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,CMI90,EU_V,2005,4361,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,K,TOTAL,EU_V,2005,191116,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,CMI10,EU_V,2005,2791,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,CMI20,EU_V,2005,99,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,CMI30,EU_V,2005,41947,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,CMI40,EU_V,2005,18882,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,CMI50,EU_V,2005,12298,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,CMI60,EU_V,2005,4760,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,CMI70,EU_V,2005,35927,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,CMI80,EU_V,2005,8472,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,CMI90,EU_V,2005,4332,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,L,TOTAL,EU_V,2005,129508,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,CMI10,EU_V,2005,2076,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,CMI20,EU_V,2005,38,
dataflow,ESTAT:HSW_AW_CO1(1.0),A,NR,D_GE4,TOTAL,T,M,CMI30,EU_V,2005,23361,
