STRUCTURE,STRUCTURE_ID,freq,isced97,bmi,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,CY,2008,41.4,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,DE,2008,44,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,EE,2008,39.4,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,EL,2008,33.2,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,ES,2008,44.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,FR,2008,46.7,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,HU,2008,34.1,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,LV,2008,25.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,MT,2008,24.1,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,PL,2008,38.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,RO,2008,40.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,SI,2008,17.4,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,SK,2008,23.5,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y45-54,TR,2008,22.6,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,AT,2008,28,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,BE,2008,37.9,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,BG,2008,32.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,CY,2008,29.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,CZ,2008,20.1,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,DE,2008,37.7,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,EE,2008,27.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,EL,2008,23.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,ES,2008,32.4,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,FR,2008,43.2,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,HU,2008,31.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,LV,2008,24.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,MT,2008,36.2,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,PL,2008,25.2,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,RO,2008,37.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,SI,2008,20.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,SK,2008,19.2,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y55-64,TR,2008,22.3,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,AT,2008,28.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,BE,2008,37.2,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y65-74,BG,2008,34.5,
