STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,FR,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,HU,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,LV,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,MT,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,PL,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,RO,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,SI,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,SK,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,F,OC2634,PC,TR,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,AT,2008,8.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,BE,2008,15.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,BG,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,CY,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,CZ,2008,11.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,EL,2008,4.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,ES,2008,12.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,FR,2008,15.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,HU,2008,7.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,LV,2008,5.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,MT,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,PL,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,RO,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,SI,2008,10.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,SK,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2264,PC,TR,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,AT,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,BE,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,BG,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,CY,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,CZ,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,EL,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,ES,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,FR,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,HU,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,LV,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,MT,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,PL,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,SI,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,SK,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,M,OC2634,PC,TR,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,AT,2008,10.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,BE,2008,17.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,BG,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,CY,2008,6.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,CZ,2008,14.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,EL,2008,5.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,ES,2008,13.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,FR,2008,17.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,HU,2008,9.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,LV,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,MT,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,PL,2008,7.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,RO,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,SI,2008,11.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,SK,2008,6.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2264,PC,TR,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,AT,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,BE,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,BG,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,CY,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,CZ,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,EL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,ES,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,FR,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,HU,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,LV,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED3_4,T,OC2634,PC,MT,2008,2.5,
