STRUCTURE,STRUCTURE_ID,freq,sex,isced97,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,CZ,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,EL,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,ES,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,FR,2008,12.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,HU,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,LV,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,MT,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,PL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,SI,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,SK,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,TR,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,BE,2008,84.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,BG,2008,85.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,CY,2008,91.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,CZ,2008,65,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,DE,2008,17.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,EL,2008,91.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,ES,2008,93.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,FR,2008,70.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,HU,2008,85.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,LV,2008,76.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,MT,2008,93.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,PL,2008,89.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,RO,2008,96.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,SI,2008,88.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,SK,2008,69.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,TR,2008,94.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,BE,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,BG,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,CY,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,CZ,2008,12.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,DE,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,EL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,ES,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,FR,2008,8.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,HU,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,LV,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,PL,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,RO,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,SI,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,SK,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,TR,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,BE,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,BG,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,CY,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,CZ,2008,5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,EL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,ES,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,FR,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,HU,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,LV,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,MT,2008,1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,PL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,RO,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,SI,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,SK,2008,5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,TR,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,BE,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,BG,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,CY,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,CZ,2008,3.5,
