STRUCTURE,STRUCTURE_ID,freq,unit,icha11_fs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2002,1454.54,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2003,1564.21,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2004,1687.63,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2005,1809.17,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2006,1924.22,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2007,2018.35,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2008,2158.07,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2009,2214.87,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2010,2262.85,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2011,2430.75,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2012,2577.97,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2013,2646.38,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2014,2664.18,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2015,2629.43,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2016,2597.86,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2017,2778.18,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2018,2868.63,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2019,3026.99,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,FI,2020,3117.50,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HR,2014,137.08,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HR,2015,106.34,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HR,2016,130.81,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HR,2017,146.11,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HR,2018,169.42,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HR,2019,144.15,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HR,2020,227.22,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2006,247.63,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2007,239.76,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2008,254.49,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2009,272.73,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2010,344.61,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2011,352.42,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2012,349.43,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2013,339.07,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,HU,2014,351.64,
