STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,yes_no,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,AT,2012,1819.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,BE,2012,2653.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,BG,2012,1091.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,CY,2012,163.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,CZ,2012,1476.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,DE,2012,18689.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,DK,2012,1259.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,EE,2012,328.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,EEA,2012,97079.0,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,EL,2012,1493.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,ES,2012,10748.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,EU27_2007,2012,96041.9,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,FI,2012,1299.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,FR,2012,14447.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,HU,2012,1380.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,IS,2012,73.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,IT,2012,8541.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,LT,2012,645.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,LU,2012,112.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,LV,2012,412.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,MT,2012,71.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,NL,2012,3211.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,NO,2012,963.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,PL,2012,6229.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,PT,2012,2055.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,RO,2012,1753.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,SE,2012,2343.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,SI,2012,398.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,SK,2012,1331.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,F,UK,2012,12083.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,AT,2012,1440.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,BE,2012,2356.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,BG,2012,957.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,CY,2012,126.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,CZ,2012,1235.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,DE,2012,16364.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,DK,2012,1184.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,EE,2012,267.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,EEA,2012,84413.0,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,EL,2012,1153.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,ES,2012,9613.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y_GE15,M,EU27_2007,2012,83364.7,e
