STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,icha_hc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,EL,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,ES,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,HU,2008,9.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,LV,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,MT,2008,10.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,PL,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,RO,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,SI,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,SK,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,AT,2008,17.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,BE,2008,13.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,BG,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,CY,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,CZ,2008,8.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,EL,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,ES,2008,9.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,FR,2008,12.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,HU,2008,12.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,LV,2008,11.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,MT,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,PL,2008,10.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,RO,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,SI,2008,6.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,IN,PC,SK,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,AT,2008,8.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,BE,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,BG,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,CY,2008,7.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,CZ,2008,5.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,EL,2008,11.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,ES,2008,9.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,HU,2008,9.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,LV,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,MT,2008,12.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,PL,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,RO,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,SI,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,DAY,PC,SK,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,AT,2008,19.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,BE,2008,13.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,BG,2008,9.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,CY,2008,9.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,CZ,2008,12.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,EL,2008,10.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,ES,2008,10.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,FR,2008,14.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,HU,2008,16.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,LV,2008,13.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,TOTAL,IN,PC,MT,2008,10.0,
