STRUCTURE,STRUCTURE_ID,freq,unit,isced97,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,SI,2012,45.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,SK,2012,61.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,T,UK,2012,1277.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,AT,2012,158.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,BE,2012,264.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,BG,2012,207.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,CY,2012,22.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,CZ,2012,164.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,DE,2012,1077.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,DK,2012,190.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,EE,2012,13.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,EEA,2012,11234.1,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,EL,2012,418.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,ES,2012,1381.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,EU27_2007,2012,11147.2,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,FI,2012,153.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,FR,2012,1069.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,HU,2012,481.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,IS,2012,9.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,IT,2012,1628.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,LT,2012,59.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,LU,2012,8.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,LV,2012,62.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,MT,2012,12.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,NL,2012,431.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,NO,2012,77.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,PL,2012,1473.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,PT,2012,346.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,RO,2012,578.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,SE,2012,130.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,SI,2012,78.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,SK,2012,120.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,F,UK,2012,611.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,AT,2012,170.5,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,BE,2012,163.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,BG,2012,155.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,CY,2012,14.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,CZ,2012,63.4,u
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,DE,2012,699.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,DK,2012,124.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,EE,2012,7.7,u
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,EEA,2012,7176.7,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,M,EL,2012,266.9,
