STRUCTURE,STRUCTURE_ID,freq,severity,nace_r1,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,2002,33760,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,2003,29627,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,2004,29089,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,2005,30033,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,2006,32934,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,J_K,NR,EU15_NO,2007,42304,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,1996,401726,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,1997,360138,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,1998,369894,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,1999,372856,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,2000,396625,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,2001,387591,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,2002,370639,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,2003,342606,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,2004,361474,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,2005,384174,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,2006,386931,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D14-20,TOTAL,NR,EU15_NO,2007,532408,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,1996,25925,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,1997,25089,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,1998,23301,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,1999,22216,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,2000,21230,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,2001,20192,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,2002,16421,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,2003,27223,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,2004,19848,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,2005,19873,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,2006,15393,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A,NR,EU15_NO,2007,10505,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,1996,251110,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,1997,210825,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,1998,215909,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,1999,217241,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,2000,230591,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,2001,231823,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,2002,228032,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,2003,439152,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,2004,300111,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,2005,304779,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,2006,264796,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,A_D-K,NR,EU15_NO,2007,194416,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,1996,82476,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,1997,69281,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,1998,71297,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,1999,68488,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,2000,71251,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,2001,71823,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,2002,68831,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,2003,127532,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,2004,92326,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,2005,87841,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,2006,74799,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,D,NR,EU15_NO,2007,53876,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,1996,1801,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,1997,1369,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,1998,1329,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,1999,1222,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,2000,1419,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,2001,1300,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,2002,1288,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,2003,2764,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,2004,1868,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,E,NR,EU15_NO,2005,1749,
