STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,isco08,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,M,SI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,M,TR,2011,111.219,
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,CH,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,DK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,HR,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,LU,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,NL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,PL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,SE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y15-24,T,SI,2011,,u
