STRUCTURE,STRUCTURE_ID,freq,unit,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,MT,2013,5.34,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,MT,2014,6.24,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,MT,2015,5.99,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,MT,2016,3.71,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,MT,2017,4.85,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,MT,2018,4.28,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2010,0.37,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2011,0.38,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2012,0.38,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2013,0.39,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2014,0.42,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2015,0.43,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2016,0.48,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2017,0.50,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2018,0.57,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NL,2019,0.65,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NO,2012,0.34,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NO,2013,0.35,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NO,2014,0.36,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NO,2015,0.37,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NO,2016,0.29,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NO,2017,0.29,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,NO,2018,0.46,
