STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,CZ,2011,27.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,DE,2011,30.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,DK,2011,49.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,EE,2011,51.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,EL,2011,31.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,ES,2011,47.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,FI,2011,58.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,FR,2011,51.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,HR,2011,33.1,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,HU,2011,33.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,IE,2011,56.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,IS,2011,62.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,IT,2011,25.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,LT,2011,53.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,LU,2011,49.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,LV,2011,46.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,MT,2011,24.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,NL,2011,47.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,PL,2011,43.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,PT,2011,29.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,RO,2011,19.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,SE,2011,58.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,SI,2011,49.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,SK,2011,27.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,TR,2011,15.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,F,UK,2011,49.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,AT,2011,25.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,BE,2011,40.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,BG,2011,21.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,CH,2011,47.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,CY,2011,38.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,CZ,2011,21.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,DE,2011,29.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,DK,2011,37.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,EE,2011,31.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,EL,2011,25.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,ES,2011,38.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,FI,2011,41.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,FR,2011,44.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,HR,2011,18.3,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,HU,2011,23.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,IE,2011,44.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,IS,2011,40.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,IT,2011,15.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,LT,2011,38.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,LU,2011,49.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,LV,2011,28.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,MT,2011,30.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,NL,2011,39.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,PL,2011,31.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,PT,2011,20.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,RO,2011,20.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,SE,2011,44.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,SI,2011,28.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,SK,2011,19.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,TR,2011,19.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,M,UK,2011,44.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,AT,2011,24.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,BE,2011,47.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,BG,2011,29.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,CH,2011,44.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,CY,2011,45.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,CZ,2011,24.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,DE,2011,29.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,DK,2011,43.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,EE,2011,41.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,EL,2011,28.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,ES,2011,43.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,FI,2011,49.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,FR,2011,48.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,HR,2011,25.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,HU,2011,28.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,IE,2011,50.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,IS,2011,51.5,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,IT,2011,20.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,LT,2011,45.9,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,LU,2011,49.8,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,LV,2011,37.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,MT,2011,27.2,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,NL,2011,43.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,PL,2011,37.6,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,PT,2011,24.7,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,RO,2011,20.0,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,SE,2011,51.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,SI,2011,38.4,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,SK,2011,23.3,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,TR,2011,17.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1041,T,UK,2011,47.1,
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,AT,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,BE,2011,20.4,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,BG,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,CH,2011,25.8,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,CY,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,CZ,2011,19.2,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,DE,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,DK,2011,24.4,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,EE,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,EL,2011,,u
dataflow,ESTAT:HLTH_DE020(1.0),A,PC,PB1070,F,ES,2011,43.2,
