STRUCTURE,STRUCTURE_ID,freq,sex,age,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,SI,2020,60.4,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,SK,2013,41.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,SK,2020,52.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,TR,2013,32.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,B-E,PC_EMP,UK,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,AT,2013,62.8,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,AT,2020,61.8,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,BE,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,BE,2020,59.4,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,BG,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,BG,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,CH,2013,41.2,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,CH,2020,70.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,CY,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,CY,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,CZ,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,CZ,2020,20.4,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,DE,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,DE,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,DK,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,DK,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,EA19,2013,45.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,EA19,2020,45.9,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,EE,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,EE,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,EL,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,EL,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,ES,2013,45.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,ES,2020,74.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,EU27_2020,2013,43.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,EU27_2020,2020,46.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,EU28,2013,42.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,FI,2013,59.6,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,FI,2020,77.9,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,FR,2013,,bdu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,FR,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,HR,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,HR,2020,,bc
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,HU,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,HU,2020,49.7,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,IE,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,IE,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,IS,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,IT,2013,69.9,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,IT,2020,43.2,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,LT,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,LT,2020,40.7,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,LU,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,LU,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,LV,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,LV,2020,57.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,MT,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,MT,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,NL,2020,82.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,NO,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,NO,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,PL,2013,37.5,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,PL,2020,40.8,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,PT,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,PT,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,RO,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,RO,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,SE,2013,57.5,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,SE,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,SI,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,SI,2020,52.2,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,SK,2013,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,SK,2020,,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,TR,2013,16.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,F,PC_EMP,UK,2013,40.6,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,AT,2013,56.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,AT,2020,73.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,BE,2013,39.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,BE,2020,56.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,BG,2013,35.2,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,BG,2020,56.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,CH,2013,60.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,CH,2020,76.4,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,CY,2013,43.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,CY,2020,52.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,CZ,2013,27.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,CZ,2020,34.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,DE,2013,21.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,DE,2020,24.8,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,DK,2013,17.1,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,DK,2020,39.0,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,EA19,2013,49.6,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,EA19,2020,54.9,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,EE,2013,74.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,EE,2020,67.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,EL,2013,48.3,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,EL,2020,71.3,bu
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,ES,2013,47.6,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,ES,2020,70.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,EU27_2020,2013,46.8,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,EU27_2020,2020,54.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,EU28,2013,46.7,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,FI,2013,59.5,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,FI,2020,65.2,b
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,FR,2013,78.7,bd
dataflow,ESTAT:HSW_EXP6B(1.0),A,F,Y15-34,G-J,PC_EMP,FR,2020,73.2,b
