STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,levels,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,SI,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,SK,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED5_6,SEV,PC,TR,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,BG,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,CY,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,CZ,2008,6.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,EL,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,ES,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,FR,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,HU,2008,9.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,LV,2008,8.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,MT,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,PL,2008,7.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,RO,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,SI,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,SK,2008,6.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,MOD,PC,TR,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,BG,2008,81.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,CY,2008,88.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,CZ,2008,86.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,EL,2008,85.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,ES,2008,87.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,FR,2008,89.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,HU,2008,79.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,LV,2008,82.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,MT,2008,90.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,PL,2008,85.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,RO,2008,88.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,SI,2008,84.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,SK,2008,87.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,NONE,PC,TR,2008,81.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,BG,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,CY,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,CZ,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,EL,2008,9.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,ES,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,FR,2008,8.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,HU,2008,11.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,LV,2008,9.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,MT,2008,5.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,PL,2008,7.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,RO,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,TOTAL,SEV,PC,SI,2008,8.4,
