STRUCTURE,STRUCTURE_ID,freq,unit,quantile,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,IS,2012,1.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,IT,2012,111.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,LT,2012,12.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,LU,2012,3.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,LV,2012,7.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,MT,2012,0.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,NL,2012,68.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,NO,2012,30.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,PL,2012,119.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,PT,2012,2.5,u
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,RO,2012,82.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,SE,2012,40.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,SI,2012,5.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,SK,2012,13.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,M,UK,2012,698.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,AT,2012,87.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,BE,2012,78.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,BG,2012,48.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,CY,2012,2.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,CZ,2012,55.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,DE,2012,1698.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,DK,2012,81.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,EE,2012,3.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,EEA,2012,5813.7,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,EL,2012,28.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y15-44,T,ES,2012,360.3,
