STRUCTURE,STRUCTURE_ID,freq,unit,yes_no,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,MT,2011,20.255,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,NL,2011,1349.306,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,PL,2011,3561.304,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,PT,2011,1146.051,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,RO,2011,1579.908,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,SE,2011,863.107,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,SI,2011,254.623,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,SK,2011,391.45,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,TR,2011,8216.537,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,T,UK,2011,6213.476,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,AT,2011,21.353,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,BE,2011,8.257,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,CH,2011,22.424,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,CY,2011,0.726,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,CZ,2011,3.99,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,DE,2011,96.738,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,DK,2011,10.324,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,EL,2011,3.605,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,ES,2011,22.929,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,FI,2011,5.627,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,FR,2011,142.78,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,HR,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,HU,2011,5.038,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,F,IE,2011,3.339,
