STRUCTURE,STRUCTURE_ID,freq,lev_diff,sex,age,yes_no,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,CZ,2019,98.4,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,DE,2019,91.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,DK,2019,85.4,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,EE,2019,80.1,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,EL,2019,85.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,ES,2019,89.6,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,EU27_2020,2019,88.3,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,FI,2019,92.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,FR,2019,78.0,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,HR,2019,91.7,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,HU,2019,90.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,IE,2019,80.5,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,IS,2019,79.0,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,IT,2019,93.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,LT,2019,98.3,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,LU,2019,73.3,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,LV,2019,99.0,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE55,YES,PC,MT,2019,79.6,
