STRUCTURE,STRUCTURE_ID,freq,deg_urb,sex,age,lev_diff,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,CY,2019,68.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,CZ,2019,68.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,DE,2019,63.8,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,DK,2019,78.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,EE,2019,80.5,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,EL,2019,80.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,ES,2019,83.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,EU27_2020,2019,70.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,FI,2019,75.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,FR,2019,66.4,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,HR,2019,73.8,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,HU,2019,72.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,IE,2019,75.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,IS,2019,71.9,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,IT,2019,82.2,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,LT,2019,50.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,LU,2019,75.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,LV,2019,49.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,MT,2019,78.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,NONE,PC,NL,2019,49.9,
