STRUCTURE,STRUCTURE_ID,freq,unit,quantile,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,BG,2012,248.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,CY,2012,8.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,CZ,2012,114.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,DE,2012,2488.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,DK,2012,124.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,EE,2012,33.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,EEA,2012,8923.6,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,EL,2012,105.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,ES,2012,504.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,EU27_2007,2012,8826.1,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,FI,2012,137.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,FR,2012,599.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,HU,2012,390.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,IS,2012,5.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,IT,2012,426.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,LT,2012,48.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,LU,2012,7.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,LV,2012,87.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,MT,2012,6.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,NL,2012,267.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,NO,2012,92.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,PL,2012,688.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,PT,2012,32.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,RO,2012,800.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,SE,2012,115.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,SI,2012,46.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,SK,2012,164.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,F,UK,2012,1148.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,AT,2012,134.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,BE,2012,62.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,BG,2012,142.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,CY,2012,4.6,u
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,CZ,2012,64.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,DE,2012,1738.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,DK,2012,92.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,EE,2012,12.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,EEA,2012,5888.6,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,EL,2012,65.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,ES,2012,296.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,EU27_2007,2012,5839.7,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,FI,2012,110.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,FR,2012,270.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,HU,2012,227.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,IS,2012,3.1,u
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,IT,2012,282.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,LT,2012,32.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,LU,2012,5.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,LV,2012,37.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,MT,2012,4.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,NL,2012,177.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,NO,2012,45.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,PL,2012,400.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,PT,2012,26.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,RO,2012,713.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,SE,2012,88.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,SI,2012,35.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,SK,2012,75.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,M,UK,2012,739.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,AT,2012,270.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,BE,2012,158.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,BG,2012,390.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1095,T,CY,2012,13.5,
