STRUCTURE,STRUCTURE_ID,freq,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,PT,2003,61.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,SE,1997,60.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,SE,1998,61.3,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,SE,1999,61.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,SE,2000,61.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,SE,2001,61.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,SE,2002,61.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,SE,2003,62.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,UK,1995,61.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,UK,1996,61.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,UK,1997,61.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,UK,1998,62.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,UK,1999,61.3,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,UK,2000,61.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,UK,2001,60.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,UK,2002,60.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLE,UK,2003,60.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,AT,2000,83.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,AT,2001,84.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,AT,2002,84.5,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,AT,2003,85.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,BE,1995,82.7,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,BE,1996,85.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,BE,1997,84.8,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,BE,1998,81.3,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,BE,1999,84.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,BE,2000,85.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,BE,2001,84.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,BE,2002,85.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,BE,2003,85.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,CY,2003,85.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,CZ,2002,80.4,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DE,1995,80.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DE,1996,80.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DE,1997,80.0,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DE,1998,79.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DE,1999,79.6,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DE,2000,79.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DE,2001,79.3,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DE,2002,79.5,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DE,2003,79.6,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DK,1995,78.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DK,1996,78.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DK,1997,77.4,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DK,1998,77.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DK,1999,77.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DK,2000,78.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DK,2001,76.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DK,2002,76.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,DK,2003,76.0,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EL,1995,86.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EL,1996,86.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EL,1997,85.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EL,1998,84.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EL,1999,86.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EL,2000,84.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EL,2001,85.4,p
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EL,2002,84.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EL,2003,84.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,ES,1995,83.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,ES,1996,83.8,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,ES,1997,83.1,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,ES,1998,83.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,ES,1999,84.6,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,ES,2000,84.0,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,ES,2001,83.5,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,ES,2002,83.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,ES,2003,83.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EU15,1999,78.8,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EU15,2000,79.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EU15,2001,79.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EU15,2002,80.6,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,EU15,2003,80.9,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FI,1996,71.7,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FI,1997,71.5,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FI,1998,72.2,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FI,1999,70.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FI,2000,70.2,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FI,2001,69.9,
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FI,2002,69.7,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FI,2003,69.1,e
dataflow,ESTAT:HLTH_HLYE_H(1.0),A,F_0_DFLEPC,FR,1995,76.3,
