STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,DE,2011,313.672,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,ES,2011,11.667,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,EU28,2011,419.682,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,FR,2011,71.249,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,IT,2011,5.996,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,NL,2011,2.056,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,CH,2011,2.798,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,DE,2011,599.966,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,ES,2011,27.555,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,EU28,2011,822.847,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,FR,2011,154.383,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,IT,2011,8.565,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,LU,2011,0.508,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,NL,2011,4.511,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,SE,2011,7.989,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y15-24,T,UK,2011,15.685,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,CH,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,DE,2011,428.79,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,ES,2011,26.256,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,EU28,2011,556.145,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,FR,2011,85.348,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,NL,2011,2.362,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,F,UK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,CH,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,DE,2011,461.18,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,ES,2011,33.391,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,EU28,2011,616.233,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,FR,2011,105.846,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,IT,2011,5.728,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,NL,2011,2.361,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,CH,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,DE,2011,889.97,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,ES,2011,59.646,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,EU28,2011,1172.378,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,FR,2011,191.194,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,IE,2011,1.001,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,IT,2011,7.7,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,LU,2011,0.651,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,NL,2011,4.723,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,SE,2011,4.044,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y25-34,T,UK,2011,11.724,
