STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,EEA,2012,2180.0,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,EL,2012,20.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,ES,2012,85.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,EU27_2007,2012,2131.1,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,FI,2012,31.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,FR,2012,535.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,HU,2012,6.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,IS,2012,1.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,IT,2012,277.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,LT,2012,4.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,LU,2012,1.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,LV,2012,4.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,MT,2012,0.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,NL,2012,107.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,NO,2012,47.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,PL,2012,23.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,PT,2012,16.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,RO,2012,23.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,SE,2012,37.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,SI,2012,7.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,SK,2012,13.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,UK,2012,252.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,AT,2012,46.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,BE,2012,130.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,BG,2012,97.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,CY,2012,9.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,CZ,2012,99.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,DE,2012,1165.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,DK,2012,74.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,EE,2012,19.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,EEA,2012,4792.7,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,EL,2012,89.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,ES,2012,294.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,EU27_2007,2012,4716.0,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,FI,2012,52.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,FR,2012,656.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,HU,2012,129.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,IS,2012,3.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,IT,2012,382.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,LT,2012,30.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,LU,2012,2.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,LV,2012,29.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,MT,2012,2.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,NL,2012,187.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,NO,2012,72.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,PL,2012,323.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,PT,2012,82.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,RO,2012,91.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,SE,2012,82.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,SI,2012,20.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,SK,2012,62.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,UK,2012,552.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,AT,2012,26.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,BE,2012,59.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,BG,2012,83.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,CY,2012,5.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,CZ,2012,83.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,M,DE,2012,760.2,
