STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,physact,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,F,PHA_9,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,F,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,G,PHA_1,EU_V,2005,4.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,G,PHA_2,EU_V,2005,15.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,G,PHA_3,EU_V,2005,8.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,G,PHA_4,EU_V,2005,29.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,G,PHA_5,EU_V,2005,17.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,G,PHA_6,EU_V,2005,22.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,G,PHA_7,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,G,PHA_9,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,G,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,H,PHA_1,EU_V,2005,3.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,H,PHA_2,EU_V,2005,15.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,H,PHA_3,EU_V,2005,5.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,H,PHA_4,EU_V,2005,30.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,H,PHA_5,EU_V,2005,12.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,H,PHA_6,EU_V,2005,29.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,H,PHA_7,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,H,PHA_9,EU_V,2005,1.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,H,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,I,PHA_1,EU_V,2005,2.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,I,PHA_2,EU_V,2005,5.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,I,PHA_3,EU_V,2005,21.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,I,PHA_4,EU_V,2005,21.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,I,PHA_5,EU_V,2005,15.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,I,PHA_6,EU_V,2005,31.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,I,PHA_7,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,I,PHA_9,EU_V,2005,1.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,I,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,J,PHA_1,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,J,PHA_2,EU_V,2005,4.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,J,PHA_3,EU_V,2005,15.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,J,PHA_4,EU_V,2005,15.4,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,J,PHA_5,EU_V,2005,6.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,J,PHA_6,EU_V,2005,44.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,J,PHA_7,EU_V,2005,10.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,J,PHA_9,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,J,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,K,PHA_1,EU_V,2005,4.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,K,PHA_2,EU_V,2005,13.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,K,PHA_3,EU_V,2005,10.2,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,K,PHA_4,EU_V,2005,20.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,K,PHA_5,EU_V,2005,13.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,K,PHA_6,EU_V,2005,35.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,K,PHA_7,EU_V,2005,1.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,K,PHA_9,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,K,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,L,PHA_1,EU_V,2005,2.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,L,PHA_2,EU_V,2005,9.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,L,PHA_3,EU_V,2005,9.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,L,PHA_4,EU_V,2005,16.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,L,PHA_5,EU_V,2005,12.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,L,PHA_6,EU_V,2005,42.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,L,PHA_7,EU_V,2005,3.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,L,PHA_9,EU_V,2005,3.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,L,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,M,PHA_1,EU_V,2005,2.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,M,PHA_2,EU_V,2005,7.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,M,PHA_3,EU_V,2005,5.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,M,PHA_4,EU_V,2005,17.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,M,PHA_5,EU_V,2005,9.5,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,M,PHA_6,EU_V,2005,50.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,M,PHA_7,EU_V,2005,4.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,T,M,PHA_9,EU_V,2005,3.1,
