STRUCTURE,STRUCTURE_ID,freq,lev_limit,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_EMP_PREEMP,UK,2013,0.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,AT,2007,16.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,AT,2013,21.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,AT,2020,18.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,BE,2007,27.8,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,BE,2013,21.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,BE,2020,16.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,BG,2007,10.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,BG,2013,20.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,BG,2020,19.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,CH,2013,24.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,CH,2020,20.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,CY,2007,18.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,CY,2013,10.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,CY,2020,9.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,CZ,2007,28.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,CZ,2013,24.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,CZ,2020,8.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,DE,2007,31.7,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,DE,2013,26.8,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,DK,2007,31.6,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,DK,2013,30.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,DK,2020,19.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EA19,2007,29.2,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EA19,2013,24.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EA19,2020,21.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EE,2007,25.8,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EE,2013,23.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EE,2020,18.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EL,2007,24.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EL,2013,6.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EL,2020,11.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,ES,2007,28.7,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,ES,2013,25.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,ES,2020,22.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EU27_2020,2007,28.6,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EU27_2020,2013,26.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EU27_2020,2020,29.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EU28,2007,28.5,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,EU28,2013,25.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,FI,2007,33.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,FI,2013,31.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,FI,2020,34.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,FR,2007,29.9,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,FR,2013,23.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,FR,2020,23.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,HR,2007,4.8,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,HR,2013,4.3,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,HR,2020,8.5,u
