STRUCTURE,STRUCTURE_ID,freq,factor,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,IT,2020,1.4,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,LT,2020,3.9,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,LU,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,LV,2020,3.5,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,MT,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,NL,2020,2.1,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,NO,2020,7.5,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,PL,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,PT,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,RO,2020,1.1,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,SE,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,SI,2020,1.8,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,M,SK,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,AT,2020,1.9,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,BE,2020,2.7,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,BG,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,CH,2020,7.5,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,CY,2020,3.1,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,CZ,2020,2.7,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,DE,2020,1.3,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,DK,2020,3.1,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,EA19,2020,1.8,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,EE,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,EL,2020,4.5,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,ES,2020,1.4,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,EU27_2020,2020,1.7,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,FI,2020,3.7,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,FR,2020,2.3,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,HR,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,HU,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,IE,2020,2.7,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,IS,2020,10.3,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,IT,2020,1.2,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,LT,2020,3.0,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,LU,2020,1.7,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,LV,2020,3.4,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,MT,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,NL,2020,2.2,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,NO,2020,7.8,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,PL,2020,0.6,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,PT,2020,1.0,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,RO,2020,1.1,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,SE,2020,3.9,b
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,SI,2020,1.1,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y55-64,PC_EMP,T,SK,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,AT,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,BE,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,BG,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,CH,2020,4.5,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,CY,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,CZ,2020,2.8,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,DE,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,DK,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,EA19,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,EE,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,EL,2020,7.6,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,ES,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,EU27_2020,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,FI,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,FR,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,HR,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,HU,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,IE,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,IS,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,IT,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,LT,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,LU,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,LV,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,F,MT,2020,,bu
